0,1,2,3,4,5,6,7,8,Accl_x,Accel_y,Accel_M
1,1.07997179,0.018909542,-0.857300282,0.857508801,0,-0.499999523,0.499999523,0.8575,11.70167059,-11.70167059,16.54866125
1,1.127504826,0.068909541,-0.857300282,0.860065287,0,0,0,0.8601,-10.51899001,10.51899001,14.87609833
1,1.163601875,0.093909539,-0.882300258,0.887283915,0,0,0,0.8873,0,0,0
1,1.19354701,0.118909538,-0.882300258,0.890277048,0,0,0,0.8903,0,0,0
1,1.245079041,0.143909544,-0.907300234,0.918642298,0.500000119,0,0.500000119,0.9186,9.702705641,0,9.702705641
1,1.277561903,0.16890955,-0.907300234,0.922889024,0.500000119,0,0.500000119,0.9229,0,0,0
1,1.315688848,0.16890955,-0.907300234,0.922889024,0,0,0,0.9229,-13.11408802,0,13.11408802
1,1.356186867,0.193909556,-0.93230021,0.952252381,0,-0.499999523,0.499999523,0.9523,12.34627136,-12.34627136,17.46026441
1,1.395520926,0.218909562,-0.93230021,0.957656033,0,0,0,0.9577,-12.71161784,12.71161784,17.97694235
1,1.433598995,0.243909568,-0.93230021,0.963678141,0,0,0,0.9637,0,0,0
1,1.471627951,0.243909568,-0.93230021,0.963678141,0,0,0,0.9637,0,0,0
1,1.508383989,0.268909574,-0.93230021,0.970307189,0,0,0,0.9703,0,0,0
1,1.556814909,0.29390958,-0.93230021,0.977530829,0,0,0,0.9775,0,0,0
1,1.591981888,0.29390958,-0.93230021,0.977530829,0,0,0,0.9775,0,0,0
1,1.627052069,0.318909585,-0.93230021,0.985335986,0.500000119,0,0.500000119,0.9853,14.25712975,0,14.25712975
1,1.663626909,0.318909585,-0.93230021,0.985335986,0,0,0,0.9853,-13.67060284,0,13.67060284
1,1.69432497,0.318909585,-0.93230021,0.985335986,0,0,0,0.9853,0,0,0
1,1.738143921,0.318909585,-0.93230021,0.985335986,0,0,0,0.9853,0,0,0
1,1.770688057,0.318909585,-0.93230021,0.985335986,0,0,0,0.9853,0,0,0
1,1.806726933,0.343909591,-0.907300234,0.970292493,0,0.499999523,0.499999523,0.9703,13.87389354,13.87389354,19.62064841
1,1.856400967,0.343909591,-0.882300258,0.946956996,0,0.499999523,0.499999523,0.947,0,0,0
1,1.898606777,0.343909591,-0.882300258,0.946956996,0,0,0,0.947,-11.84669875,-11.84669875,16.75376205
1,1.933474779,0.343909591,-0.857300282,0.923708601,0,0,0,0.9237,0,0,0
1,1.973383904,0.343909591,-0.832300305,0.900554055,0,0,0,0.9006,0,0,0
1,2.009018898,0.343909591,-0.832300305,0.900554055,0,0,0,0.9006,0,0,0
1,2.045346022,0.343909591,-0.807300329,0.877500786,0,0,0,0.8775,0,0,0
1,2.083647966,0.368909597,-0.782300353,0.864920883,0,0,0,0.8649,0,0,0
1,2.124606848,0.368909597,-0.757300377,0.842376491,0,0,0,0.8424,0,0,0
1,2.178282022,0.368909597,-0.732300401,0.819974492,0,0,0,0.82,0,0,0
1,2.212779999,0.368909597,-0.707300425,0.797726884,0,0,0,0.7977,0,0,0
